family_id,display_name,anchor_symbol,status,family_type,notes,example_kanji,font_variation_risk,glossary_priority
圣_family,圣 Family,圣,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,圣|径|怪|経|茎|軽,stable-form,medium
shaku_family,Shaku Family,尺,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,尺|呎|択|沢|訳|釈|駅,stable-form,medium
dry_family,Dry Family,干,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,干|倖|刊|午|執|報|幸|幹,stable-form,medium
戋_family,戋 Family,戋,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,戋|桟|残|浅|践|銭,stable-form,medium
昜_family,昜 Family,昜,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,昜|場|揚|暢|楊|湯|腸|蕩,stable-form,medium
formerly_family,Formerly Family,曽,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,曽|僧|噌|増|層|憎|贈,stable-form,medium
east_family,East Family,東,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,東|凍|棟|煉|練|諌|錬|陳,stable-form,medium
oversee_family,Oversee Family,監,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; curated_hub; recursive_nav=enabled; content=review_pending,監|塩|濫|艦|藍|覧|鑑,stable-form,medium
艮_family,艮 Family,艮,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,艮|墾|恨|懇|根|眼|銀|限,stable-form,medium
襄_family,襄 Family,襄,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,襄|壌|嬢|薫|譲|醸,stable-form,medium
non_family,Non Family,非,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,非|俳|悲|扉|排|琲|緋|罪,stable-form,medium
tanned_leather_family,Tanned Leather Family,韋,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; curated_hub; recursive_nav=enabled; content=review_pending,韋|偉|囲|緯|葦|衛|違|韓,stable-form,medium
乍_family,乍 Family,乍,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,乍|作|搾|昨|窄|詐|酢,stable-form,low
boar_zodiac_family,Boar Zodiac Family,亥,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,亥|刻|劾|咳|核|該|骸,stable-form,low
僉_family,僉 Family,僉,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,僉|剣|検|険|験,stable-form,low
冓_family,冓 Family,冓,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,冓|構|溝|講|購,stable-form,low
ward_family,Ward Family,区,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,区|枢|欧|殴|躯|駆,stable-form,low
pedestal_family,Pedestal Family,台,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,台|冶|始|怠|殆|治|胎|苔,stable-form,low
director_family,Director Family,司,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,司|伺|嗣|笥|詞|飼,stable-form,low
壬_family,壬 Family,壬,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,壬|任|呈|妊|廷|淫|賃,stable-form,low
branch_family,Branch Family,支,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,支|伎|妓|岐|技|枝|肢|鼓,stable-form,low
long_ago_family,Long Ago Family,昔,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,昔|借|惜|措|籍|錯,stable-form,low
朮_family,朮 Family,朮,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,朮|肺|術|述|鉢,stable-form,low
every_family,Every Family,毎,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,毎|侮|悔|晦|梅|海,stable-form,low
氐_family,氐 Family,氐,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,氐|低|底|抵|邸,stable-form,low
life_family,Life Family,生,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,生|姓|性|星|牲|笙|醒|隆,stable-form,low
newly_family,Newly Family,甫,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,甫|哺|捕|浦|舗|蒲|補|輔,stable-form,low
甬_family,甬 Family,甬,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,甬|勇|桶|痛|踊|通,stable-form,low
monkey_zodiac_family,Monkey Zodiac Family,申,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,申|伸|坤|榊|神|紳|電,stable-form,low
禺_family,禺 Family,禺,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,禺|偶|寓|愚|萬|遇|邁|隅,stable-form,low
good_family,Good Family,良,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,良|娘|朗|浪|狼|莨|郎,stable-form,low
虍_family,虍 Family,虍,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,虍|劇|慮|虚|虜,stable-form,low
蜀_family,蜀 Family,蜀,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,蜀|属|濁|燭|独|触,stable-form,low
blame_family,Blame Family,責,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,責|債|漬|積|績|蹟,stable-form,low
dragon_zodiac_family,Dragon Zodiac Family,辰,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,辰|唇|娠|振|晨|濃|膿|賑,stable-form,low
heavy_family,Heavy Family,重,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,重|動|種|童|腫|衝|鍾,stable-form,low
隹_family,隹 Family,隹,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,隹|催|准|唯|堆|奪|奮|惟,stable-form,low
雚_family,雚 Family,雚,candidate,phonetic_family,pass7 auto scaffold; phon_parents=4; recursive_nav=enabled; content=review_pending,雚|勧|権|歓|観,stable-form,low
丂_family,丂 Family,丂,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,丂|巧|朽|考,stable-form,low
丰_family,丰 Family,丰,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,丰|峰|彗|慧|蜂|邦,stable-form,low
of_family,Of Family,之,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,之|乏|寺|志|芝,stable-form,low
in_advance_family,In Advance Family,予,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,予|序|野|預,stable-form,low
quote_family,Quote Family,云,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,云|会|伝|曇|桧|芸|蔭|藝,stable-form,low
亢_family,亢 Family,亢,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,亢|坑|抗|杭|航,stable-form,low
亦_family,亦 Family,亦,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,亦|夜|恋|蛮|跡,stable-form,low
adhere_family,Adhere Family,付,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,付|府|符|附|鮒,stable-form,low
侖_family,侖 Family,侖,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,侖|倫|綸|論|輪,stable-form,low
public_family,Public Family,公,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,公|松|翁|訟,stable-form,low
together_family,Together Family,共,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,共|供|巽|恭|戴|撰|洪|異,stable-form,low
兹_family,兹 Family,兹,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,兹|慈|滋|磁,stable-form,low
concurrently_family,Concurrently Family,兼,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,兼|嫌|廉|謙|鎌,stable-form,low
file_family,File Family,列,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,列|例|烈|裂,stable-form,low
change_family,Change Family,化,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,化|花|貨|靴,stable-form,low
half_family,Half Family,半,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,半|伴|判|畔|絆,stable-form,low
graduate_family,Graduate Family,卒,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,卒|倅|砕|粋|翠|酔,stable-form,low
simple_family,Simple Family,単,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,単|弾|戦|禅|箪|蝉|騨,stable-form,low
reach_out_family,Reach Out Family,及,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,及|吸|扱|汲|笈|級,stable-form,low
uncle_family,Uncle Family,叔,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,叔|寂|淑|督,stable-form,low
give_family,Give Family,呉,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,呉|娯|虞|誤,stable-form,low
咼_family,咼 Family,咼,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,咼|渦|禍|過|鍋,stable-form,low
夋_family,夋 Family,夋,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,夋|俊|唆|峻|悛|竣|酸|駿,stable-form,low
复_family,复 Family,复,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,复|履|復|腹|複|覆,stable-form,low
lose_family,Lose Family,失,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,失|秩|迭|鉄,stable-form,low
夹_family,夹 Family,夹,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,夹|峡|挟|狭,stable-form,low
bureaucrat_family,Bureaucrat Family,官,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,官|棺|管|舘|菅|館,stable-form,low
尞_family,尞 Family,尞,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,尞|僚|寮|燎|療|瞭,stable-form,low
hills_family,Hills Family,岡,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,岡|剛|綱|鋼,stable-form,low
left_family,Left Family,左,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,左|佐|差|惰,stable-form,low
commoner_family,Commoner Family,庶,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,庶|席|度|遮,stable-form,low
some_family,Some Family,或,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,或|国|域|惑,stable-form,low
戠_family,戠 Family,戠,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,戠|織|職|識,stable-form,low
door_family,Door Family,戸,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,戸|所|炉|芦|雇,stable-form,low
扁_family,扁 Family,扁,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,扁|偏|篇|編|遍|騙,stable-form,low
genius_family,Genius Family,才,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,才|在|材|財,stable-form,low
fold_family,Fold Family,折,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,折|哲|誓|逝,stable-form,low
攸_family,攸 Family,攸,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,攸|修|悠|条,stable-form,low
adjusted_family,Adjusted Family,斉,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,斉|剤|斎|済,stable-form,low
朿_family,朿 Family,朿,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,朿|刺|棘|策|責,stable-form,low
爰_family,爰 Family,爰,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,爰|媛|援|暖|緩,stable-form,low
畾_family,畾 Family,畾,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,畾|塁|累|雷,stable-form,low
mutual_family,Mutual Family,相,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,相|想|箱|霜,stable-form,low
chapter_family,Chapter Family,章,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,章|商|彰|障,stable-form,low
righteousness_family,Righteousness Family,義,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,義|儀|犠|蟻|議,stable-form,low
翟_family,翟 Family,翟,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,翟|擢|曜|濯|燿|耀|躍,stable-form,low
nurture_family,Nurture Family,育,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,育|充|徹|撤,stable-form,low
臤_family,臤 Family,臤,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,臤|堅|緊|賢,stable-form,low
climax_family,Climax Family,至,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,至|姪|室|窒|致|蛭,stable-form,low
蒦_family,蒦 Family,蒦,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,蒦|獲|穫|護,stable-form,low
beans_family,Beans Family,豆,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,豆|凱|澄|燈|痘|登|短|艶,stable-form,low
賁_family,賁 Family,賁,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,賁|噴|墳|憤,stable-form,low
辟_family,辟 Family,辟,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,辟|僻|壁|癖|避,stable-form,low
grab_family,Grab Family,采,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,采|彩|採|菜,stable-form,low
long_family,Long Family,長,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,長|套|帳|張|脹,stable-form,low
hemp_family,Hemp Family,麻,candidate,phonetic_family,pass7 auto scaffold; phon_parents=3; recursive_nav=enabled; content=review_pending,麻|摩|磨|魔,stable-form,low
ghost_family,Ghost Family,鬼,candidate,visual_family,pass7 auto scaffold; phon_parents=1; recursive_nav=enabled; content=review_pending,鬼|塊|蒐|醜|魁|魂|魅,stable-form,low
can_family,Can Family,可,candidate,visual_family,pass7 auto scaffold; recursive_nav=enabled; content=review_pending,可|奇|河|苛,stable-form,low
each_family,Each Family,各,candidate,visual_family,pass7 auto scaffold; recursive_nav=enabled; content=review_pending,各|客|格|略|落|賂,stable-form,low
noisy_family,Noisy Family,喿,stable,visual_family,pass7 auto scaffold; curated_hub; recursive_nav=enabled; content=review_pending,喿|操|燥|繰|藻,stable-form,low
temple_family,Temple Family,寺,candidate,visual_family,pass7 auto scaffold; recursive_nav=enabled; content=review_pending,寺|時|特|詩,stable-form,low
esteem_family,Esteem Family,尚,candidate,visual_family,pass7 auto scaffold; recursive_nav=enabled; content=review_pending,尚,stable-form,low
resemblance_family,Resemblance Family,肖,candidate,visual_family,pass7 auto scaffold; recursive_nav=enabled; content=review_pending,肖|削|宵|梢|消|硝,stable-form,low
waning_moon_family,Waning Moon Family,胡,candidate,visual_family,pass7 auto scaffold; recursive_nav=enabled; content=review_pending,胡|湖,stable-form,low
