kanji_index,kanji,slug,keyword,lesson_number,kml_primitives,cluster_components,jp_verse,en_verse
39,中,middle,middle,2,,,,
40,千,thousand,thousand,2,,,,
41,舌,tongue,tongue,3,,,,
42,升,measuring_box,measuring_box,3,,,,
43,昇,rise,rise,3,,,,
44,丸,round,round,3,,,,
45,寸,measurement,measurement,3,,,,
46,肘,elbow,elbow,3,,,,
47,専,specialty,specialty,3,,,,
48,博,knowledgeable,knowledgeable,3,,,,
49,卜,signal,signal,3,,,,
50,占,fortune_telling,fortune_telling,3,,,,
51,上,up,up,3,,,,
52,下,below,below,3,,,,
53,卓,eminent,eminent,3,,,,
54,朝,morning,morning,3,,,,
55,嘲,derision,derision,3,,,,
56,只,only,only,3,,,,
57,貝,shellfish,shellfish,3,,,,
58,唄,pop_song,pop_song,3,,,,
59,貞,virtue,virtue,3,,,,
60,員,employee,employee,3,,,,
61,貼,post_a_bill,post_a_bill,4,,,,
62,見,see,see,4,,,,
63,児,newborn,newborn,4,,,,
64,元,beginning,beginning,4,,,,
65,頁,page,page,4,,,,
66,頑,stubborn,stubborn,4,,,,
67,凡,mediocre,mediocre,4,,,,
68,負,defeat,defeat,4,,,,
69,万,ten_thousand,ten_thousand,4,,,,
70,句,phrase,phrase,4,,,,
71,肌,texture,texture,4,,,,
72,旬,ten_days,ten_days,4,,,,
73,勺,ladle,ladle,4,,,,
74,的,bulls_eye,bulls_eye,4,,,,
75,首,neck,neck,4,,,,
76,乙,fish_guts,fish_guts,4,,,,
77,乱,riot,riot,4,,,,
78,直,straightaway,straightaway,4,,,,
79,具,tool,tool,4,,,,
80,真,true,true,4,,,,
81,工,craft,craft,5,,,,
82,左,left,left,5,,,,
83,右,right,right,5,,,,
84,有,possess,possess,5,,,,
85,賄,bribe,bribe,5,,,,
86,貢,tribute,tribute,5,,,,
87,項,paragraph,paragraph,5,,,,
88,刀,sword,sword,5,,,,
89,刃,blade,blade,5,,,,
90,切,cut,cut,5,,,,
91,召,seduce,seduce,5,,,,
92,昭,shining,shining,5,,,,
93,則,rule,rule,5,,,,
94,副,vice,vice,5,,,,
95,別,separate,separate,5,,,,
96,丁,street,street,5,,,,
97,町,town,town,5,,,,
98,可,possible,possible,5,,,,
99,頂,top,top,5,,,,
100,子,child,child,5,,,,
101,孔,cavity,cavity,6,,,,
102,了,finish,finish,6,,,,
103,女,woman,woman,6,,,,
104,好,fond_of,fond_of,6,,,,
105,如,likeness,likeness,6,,,,
106,母,mother,mother,6,,,,
107,貫,pierce,pierce,6,,,,
108,兄,older_brother,older_brother,6,,,,
109,呪,curse,curse,6,,,,
110,克,overcome,overcome,6,,,,
111,小,small,small,6,,,,
112,少,few,few,6,,,,
113,大,large,large,6,,,,
114,多,many,many,6,,,,
115,夕,evening,evening,6,,,,
116,汐,eventide,eventide,6,,,,
117,外,outside,outside,6,,,,
118,名,name,name,6,,,,
119,石,stone,stone,6,,,,
120,肖,resemblance,resemblance,6,,,,
121,硝,nitrate,nitrate,7,,,,
122,砕,smash,smash,7,,,,
123,砂,sand,sand,7,,,,
124,妬,jealousy,jealousy,7,,,,
125,削,plane,plane,7,,,,
126,光,ray,ray,7,,,,
127,太,plump,plump,7,,,,
128,器,utensil,utensil,7,,,,
129,臭,stinking,stinking,7,,,,
130,嗅,sniff,sniff,7,,,,
131,妙,exquisite,exquisite,7,,,,
132,省,government_ministry,government_ministry,7,,,,
133,厚,thick,thick,7,,,,
134,奇,strange,strange,7,,,,
135,川,river,river,7,,,,
136,州,state,state,7,,,,
137,順,follow,follow,7,,,,
138,水,water,water,7,,,,
139,氷,ice,ice,7,,,,
140,永,eternity,eternity,7,,,,
141,泉,spring,spring,8,,,,
142,腺,gland,gland,8,,,,
143,原,meadow,meadow,8,,,,
144,願,petition,petition,8,,,,
145,泳,swim,swim,8,,,,
146,沼,marsh,marsh,8,,,,
147,沖,open_sea,open_sea,8,,,,
148,汎,general,general,8,,,,
149,江,creek,creek,8,,,,
150,汰,cleanse,cleanse,8,,,,
151,汁,soup,soup,8,,,,
152,沙,grains_of_sand,grains_of_sand,8,,,,
153,潮,tide,tide,8,,,,
154,源,source,source,8,,,,
155,活,lively,lively,8,,,,
156,消,extinguish,extinguish,8,,,,
157,況,condition,condition,8,,,,
158,河,large_river,large_river,8,,,,
159,泊,overnight,overnight,8,,,,
160,湖,lake,lake,8,,,,
161,測,fathom,fathom,9,,,,
162,土,soil,soil,9,,,,
163,吐,spit,spit,9,,,,
164,圧,pressure,pressure,9,,,,
165,埼,cape,cape,9,,,,
166,垣,hedge,hedge,9,,,,
167,填,inlay,inlay,9,,,,
168,圭,jade,jade,9,,,,
169,封,seal,seal,9,,,,
170,涯,horizon,horizon,9,,,,
171,寺,temple,temple,9,,,,
172,時,time,time,9,,,,
173,均,level,level,9,,,,
174,火,fire,fire,9,,,,
175,炎,inflammation,inflammation,9,,,,
176,煩,anxiety,anxiety,9,,,,
177,淡,faint,faint,9,,,,
178,灯,lamp,lamp,9,,,,
179,畑,farm,farm,9,,,,
180,災,disaster,disaster,9,,,,
181,灰,ashes,ashes,10,,,,
182,点,point,point,10,,,,
183,照,illuminate,illuminate,10,,,,
184,魚,fish,fish,10,,,,
185,漁,fishing,fishing,10,,,,
186,里,home_village,home_village,10,,,,
187,黒,black,black,10,,,,
188,墨,black_ink,black_ink,10,,,,
189,鯉,carp,carp,10,,,,
190,量,quantity,quantity,10,,,,
191,厘,thousandth,thousandth,10,,,,
192,埋,bury,bury,10,,,,
193,同,same,same,10,,,,
194,洞,den,den,10,,,,
195,胴,trunk,trunk,10,,,,
196,向,yonder,yonder,10,,,,
197,尚,esteem,esteem,10,,,,
198,字,letter,letter,10,,,,
199,守,guard,guard,10,,,,
200,完,complete,complete,10,,,,
201,宣,proclaim,proclaim,11,,,,
202,宵,early_morning,early_morning,11,,,,
203,安,relax,relax,11,,,,
204,宴,banquet,banquet,11,,,,
205,寄,draw_near,draw_near,11,,,,
206,富,wealth,wealth,11,,,,
207,貯,savings,savings,11,,,,
208,木,tree,tree,11,,,,
209,林,woods,woods,11,,,,
210,森,forest,forest,11,,,,
211,桂,judas_tree,judas_tree,11,,,,
212,柏,oak,oak,11,,,,
213,枠,frame,frame,11,,,,
214,梢,treetops,treetops,11,,,,
215,棚,shelf,shelf,11,,,,
216,杏,apricot,apricot,11,,,,
217,桐,paulownia_tree,paulownia_tree,11,,,,
218,植,plant,plant,11,,,,
219,椅,chair,chair,11,,,,
220,枯,wither,wither,11,,,,
221,朴,crude,crude,12,,,,
222,村,village,village,12,,,,
223,相,mutual,mutual,12,,,,
224,机,desk,desk,12,,,,
225,本,book,book,12,,,,
226,札,tag,tag,12,,,,
227,暦,calendar,calendar,12,,,,
228,案,plan,plan,12,,,,
229,燥,parch,parch,12,,,,
230,未,not_yet,not_yet,12,,,,
231,末,extremity,extremity,12,,,,
232,昧,obscure,obscure,12,,,,
233,沫,splash,splash,12,,,,
234,味,flavor,flavor,12,,,,
235,妹,younger_sister,younger_sister,12,,,,
236,朱,vermilion,vermilion,12,,,,
237,株,stocks,stocks,12,,,,
238,若,young,young,12,,,,
239,草,grass,grass,12,,,,
240,苦,suffering,suffering,12,,,,
241,苛,bullying,bullying,13,,,,
242,寛,tolerant,tolerant,13,,,,
243,薄,dilute,dilute,13,,,,
244,葉,leaf,leaf,13,,,,
245,模,imitation,imitation,13,,,,
246,漠,vague,vague,13,,,,
247,墓,grave,grave,13,,,,
248,暮,livelihood,livelihood,13,,,,
249,膜,membrane,membrane,13,,,,
250,苗,seedling,seedling,13,,,,
251,兆,portent,portent,13,,,,
252,桃,peach_tree,peach_tree,13,,,,
253,眺,stare,stare,13,,,,
254,犬,dog,dog,13,,,,
255,状,status_quo,status_quo,13,,,,
256,黙,silence,silence,13,,,,
257,然,sort_of_thing,sort_of_thing,13,,,,
258,荻,reed,reed,13,,,,
259,狩,hunt,hunt,13,,,,
260,猫,cat,cat,13,,,,
261,牛,cow,cow,14,,,,
262,特,special,special,14,,,,
263,告,revelation,revelation,14,,,,
264,先,previous,previous,14,,,,
265,洗,wash,wash,14,,,,
266,介,jammed_in,jammed_in,14,,,,
267,界,world,world,14,,,,
268,茶,tea,tea,14,,,,
269,脊,stature,stature,14,,,,
270,合,fit,fit,14,,,,
271,塔,pagoda,pagoda,14,,,,
272,王,king,king,14,,,,
273,玉,ball,ball,14,,,,
274,宝,treasure,treasure,14,,,,
275,珠,pearl,pearl,14,,,,
276,現,present,present,14,,,,
277,玩,toy_with,toy_with,14,,,,
278,狂,lunatic,lunatic,14,,,,
279,旺,flourishing,flourishing,14,,,,
280,皇,emperor,emperor,14,,,,
281,呈,display,display,15,,,,
282,全,whole,whole,15,,,,
283,栓,plug,plug,15,,,,
284,理,logic,logic,15,,,,
285,主,master,master,15,,,,
286,注,pour,pour,15,,,,
287,柱,pillar,pillar,15,,,,
288,金,gold,gold,15,,,,
289,銑,pig_iron,pig_iron,15,,,,
290,鉢,bowl,bowl,15,,,,
291,銅,copper,copper,15,,,,
292,釣,angling,angling,15,,,,
293,針,needle,needle,15,,,,
294,銘,inscription,inscription,15,,,,
295,鎮,tranquilize,tranquilize,15,,,,
296,道,road,road,15,,,,
297,導,guidance,guidance,15,,,,
298,辻,crossing,crossing,15,,,,
299,迅,swift,swift,15,,,,
300,造,create,create,15,,,,
301,迫,urge,urge,16,,,,
302,逃,escape,escape,16,,,,
303,辺,environs,environs,16,,,,
304,巡,patrol,patrol,16,,,,
305,車,car,car,16,,,,
306,連,take_along,take_along,16,,,,
307,軌,rut,rut,16,,,,
308,輸,transport,transport,16,,,,
309,喩,metaphor,metaphor,16,,,,
310,前,in_front,in_front,16,,,,
311,煎,roast,roast,16,,,,
312,各,each,each,16,,,,
313,格,status,status,16,,,,
314,賂,graft,graft,16,,,,
315,略,abbreviation,abbreviation,16,,,,
316,客,guest,guest,16,,,,
317,額,amount,amount,16,,,,
318,夏,summer,summer,16,,,,
319,処,dispose,dispose,16,,,,
320,条,clause,clause,16,,,,
321,落,fall,fall,17,,,,
322,冗,superfluous,superfluous,17,,,,
323,冥,hades,hades,17,,,,
324,軍,army,army,17,,,,
325,輝,radiance,radiance,17,,,,
326,運,carry,carry,17,,,,
327,冠,crown,crown,17,,,,
328,夢,dream,dream,17,,,,
329,坑,pit,pit,17,,,,
330,高,tall,tall,17,,,,
331,享,receive,receive,17,,,,
332,塾,cram_school,cram_school,17,,,,
333,熟,ripe,ripe,17,,,,
334,亭,pavilion,pavilion,17,,,,
335,京,capital,capital,17,,,,
336,涼,refreshing,refreshing,17,,,,
337,景,scenery,scenery,17,,,,
338,鯨,whale,whale,17,,,,
339,舎,cottage,cottage,17,,,,
340,周,circumference,circumference,17,,,,
341,週,week,week,18,,,,
342,士,gentleman,gentleman,18,,,,
343,吉,good_luck,good_luck,18,,,,
344,壮,robust,robust,18,,,,
345,荘,villa,villa,18,,,,
346,売,sell,sell,18,,,,
347,学,study,study,18,,,,
348,覚,memorize,memorize,18,,,,
349,栄,flourish,flourish,18,,,,
350,書,write,write,18,,,,
351,津,haven,haven,18,,,,
352,牧,breed,breed,18,,,,
353,攻,aggression,aggression,18,,,,
354,敗,failure,failure,18,,,,
355,枚,sheet_of,sheet_of,18,,,,
356,故,happenstance,happenstance,18,,,,
357,敬,awe,awe,18,,,,
358,言,say,say,18,,,,
359,警,admonish,admonish,18,,,,
360,計,plot,plot,18,,,,
361,詮,elucidate,elucidate,19,,,,
362,獄,prison,prison,19,,,,
363,訂,revise,revise,19,,,,
364,訃,obituary,obituary,19,,,,
365,討,chastise,chastise,19,,,,
366,訓,instruction,instruction,19,,,,
367,詔,imperial_edict,imperial_edict,19,,,,
368,詰,packed,packed,19,,,,
369,話,talk,talk,19,,,,
370,詠,recitation,recitation,19,,,,
371,詩,poem,poem,19,,,,
372,語,language,language,19,,,,
373,読,read,read,19,,,,
374,調,tune,tune,19,,,,
375,談,discuss,discuss,19,,,,
376,諾,consent,consent,19,,,,
377,諭,rebuke,rebuke,19,,,,
378,式,style,style,19,,,,
379,試,test,test,19,,,,
380,弐,formal_two,formal_two,19,,,,
381,域,range,range,20,,,,
382,賊,burglar,burglar,20,,,,
383,栽,plantation,plantation,20,,,,
384,載,load,load,20,,,,
385,茂,overgrown,overgrown,20,,,,
386,戚,relatives,relatives,20,,,,
387,成,become,become,20,,,,
388,城,castle,castle,20,,,,
389,誠,sincerity,sincerity,20,,,,
390,威,intimidate,intimidate,20,,,,
391,滅,destroy,destroy,20,,,,
392,減,dwindle,dwindle,20,,,,
393,蔑,disdain,disdain,20,,,,
394,桟,scaffold,scaffold,20,,,,
395,銭,coin,coin,20,,,,
396,浅,shallow,shallow,20,,,,
397,止,stop,stop,20,,,,
398,歩,walk,walk,20,,,,
399,渉,ford,ford,20,,,,
400,頻,repeatedly,repeatedly,20,,,,
401,肯,agreement,agreement,21,,,,
402,企,undertake,undertake,21,,,,
403,歴,curriculum,curriculum,21,,,,
404,武,warrior,warrior,21,,,,
405,賦,levy,levy,21,,,,
406,正,correct,correct,21,,,,
407,証,evidence,evidence,21,,,,
408,政,politics,politics,21,,,,
409,定,determine,determine,21,,,,
410,錠,lock,lock,21,,,,
411,走,run,run,21,,,,
412,超,transcend,transcend,21,,,,
413,赴,proceed,proceed,21,,,,
414,越,surpass,surpass,21,,,,
415,是,just_so,just_so,21,,,,
416,題,topic,topic,21,,,,
417,堤,dike,dike,21,,,,
418,建,build,build,21,,,,
419,鍵,key,key,21,,,,
420,延,prolong,prolong,21,,,,
421,誕,nativity,nativity,22,,,,
422,礎,cornerstone,cornerstone,22,,,,
423,婿,bridegroom,bridegroom,22,,,,
424,衣,garment,garment,22,,,,
425,裁,judge,judge,22,,,,
426,装,attire,attire,22,,,,
427,裏,reverse_side,reverse_side,22,,,,
428,壊,demolition,demolition,22,,,,
429,哀,pathetic,pathetic,22,,,,
430,遠,far,far,22,,,,
431,猿,monkey,monkey,22,,,,
432,初,first_time,first_time,22,,,,
433,巾,towel,towel,22,,,,
434,布,linen,linen,22,,,,
435,帆,sail,sail,22,,,,
436,幅,breadth,breadth,22,,,,
437,帽,cap,cap,22,,,,
438,幕,curtain,curtain,22,,,,
439,幌,canopy,canopy,22,,,,
440,錦,brocade,brocade,22,,,,
441,市,market,market,23,,,,
442,柿,persimmon,persimmon,23,,,,
443,姉,older_sister,older_sister,23,,,,
444,肺,lungs,lungs,23,,,,
445,帯,sash,sash,23,,,,
446,滞,stagnate,stagnate,23,,,,
447,刺,thorn,thorn,23,,,,
448,制,control,control,23,,,,
449,製,made_in,made_in,23,,,,
450,転,revolve,revolve,23,,,,
451,芸,art,art,23,,,,
452,雨,rain,rain,23,,,,
453,雲,cloud,cloud,23,,,,
454,曇,cloudy_weather,cloudy_weather,23,,,,
455,雷,thunder,thunder,23,,,,
456,霜,frost,frost,23,,,,
457,冬,winter,winter,23,,,,
458,天,heaven,heaven,23,,,,
459,妖,bewitched,bewitched,23,,,,
460,沃,fertile,fertile,23,,,,
461,橋,bridge,bridge,24,,,,
462,嬌,attractive,attractive,24,,,,
463,立,stand_up,stand_up,24,,,,
464,泣,cry,cry,24,,,,
465,章,chapter,chapter,24,,,,
466,競,compete,compete,24,,,,
467,帝,sovereign,sovereign,24,,,,
468,諦,renunciation,renunciation,24,,,,
469,童,juvenile,juvenile,24,,,,
470,瞳,pupil,pupil,24,,,,
471,鐘,bell,bell,24,,,,
472,商,deal,deal,24,,,,
473,嫡,legitimate_wife,legitimate_wife,24,,,,
474,適,suitable,suitable,24,,,,
475,滴,drip,drip,24,,,,
476,敵,enemy,enemy,24,,,,
477,匕,spoon,spoon,24,,,,
478,叱,scold,scold,24,,,,
479,匂,scent,scent,24,,,,
480,頃,about_that_time,about_that_time,24,,,,
481,北,north,north,25,,,,
482,背,back,back,25,,,,
483,比,compare,compare,25,,,,
484,昆,descendants,descendants,25,,,,
485,皆,everyone,everyone,25,,,,
486,楷,block_letters,block_letters,25,,,,
487,諧,orderliness,orderliness,25,,,,
488,混,mix,mix,25,,,,
489,渇,thirst,thirst,25,,,,
490,謁,audience,audience,25,,,,
491,褐,brown,brown,25,,,,
492,喝,hoarse,hoarse,25,,,,
493,葛,kudzu,kudzu,25,,,,
494,旨,delicious,delicious,25,,,,
495,脂,fat,fat,25,,,,
496,詣,visit_shrine,visit_shrine,25,,,,
497,壱,formal_one,formal_one,25,,,,
498,毎,every,every,25,,,,
499,敏,cleverness,cleverness,25,,,,
500,梅,ume,ume,25,,,,
501,海,sea,sea,26,,,,
502,乞,beg,beg,26,,,,
503,乾,drought,drought,26,,,,
504,腹,abdomen,abdomen,26,,,,
505,複,duplicate,duplicate,26,,,,
506,欠,lack,lack,26,,,,
507,吹,blow,blow,26,,,,
508,炊,cook,cook,26,,,,
509,歌,song,song,26,,,,
510,軟,soft,soft,26,,,,
511,次,next,next,26,,,,
512,茨,briar,briar,26,,,,
513,資,assets,assets,26,,,,
514,姿,figure,figure,26,,,,
515,諮,consult_with,consult_with,26,,,,
516,賠,compensation,compensation,26,,,,
517,培,cultivate,cultivate,26,,,,
518,剖,divide,divide,26,,,,
519,音,sound,sound,26,,,,
520,暗,darkness,darkness,26,,,,
521,韻,rhyme,rhyme,27,,,,
522,識,discriminating,discriminating,27,,,,
523,鏡,mirror,mirror,27,,,,
524,境,boundary,boundary,27,,,,
525,亡,deceased,deceased,27,,,,
526,盲,blind,blind,27,,,,
527,妄,delusion,delusion,27,,,,
528,荒,laid_waste,laid_waste,27,,,,
529,望,ambition,ambition,27,,,,
530,方,direction,direction,27,,,,
531,妨,disturb,disturb,27,,,,
532,坊,boy,boy,27,,,,
533,芳,perfume,perfume,27,,,,
534,肪,obese,obese,27,,,,
535,訪,call_on,call_on,27,,,,
536,放,release,release,27,,,,
537,激,violent,violent,27,,,,
538,脱,undress,undress,27,,,,
539,説,theory,theory,27,,,,
540,鋭,pointed,pointed,27,,,,
541,曽,formerly,formerly,28,,,,
542,増,increase,increase,28,,,,
543,贈,presents,presents,28,,,,
544,東,east,east,28,,,,
545,棟,ridgepole,ridgepole,28,,,,
546,凍,frozen,frozen,28,,,,
547,妊,pregnancy,pregnancy,28,,,,
548,廷,courts,courts,28,,,,
549,染,dye,dye,28,,,,
550,燃,burn,burn,28,,,,
551,賓,vip,vip,28,,,,
552,歳,year_end,year_end,28,,,,
553,県,prefecture,prefecture,28,,,,
554,栃,horse_chestnut,horse_chestnut,28,,,,
555,地,ground,ground,28,,,,
556,池,pond,pond,28,,,,
557,虫,insect,insect,28,,,,
558,蛍,lightning_bug,lightning_bug,28,,,,
559,蛇,snake,snake,28,,,,
560,虹,rainbow,rainbow,28,,,,
561,蝶,butterfly,butterfly,29,,,,
562,独,alone,alone,29,,,,
563,蚕,silkworm,silkworm,29,,,,
564,風,wind,wind,29,,,,
565,己,self,self,29,,,,
566,起,wake_up,wake_up,29,,,,
567,妃,queen,queen,29,,,,
568,改,reformation,reformation,29,,,,
569,記,scribe,scribe,29,,,,
570,包,wrap,wrap,29,,,,
571,胞,placenta,placenta,29,,,,
572,砲,cannon,cannon,29,,,,
573,泡,bubbles,bubbles,29,,,,
574,亀,turtle,turtle,29,,,,
575,電,electricity,electricity,29,,,,
576,竜,dragon,dragon,29,,,,
577,滝,waterfall,waterfall,29,,,,
578,豚,pork,pork,29,,,,
579,逐,pursue,pursue,29,,,,
580,遂,consummate,consummate,29,,,,
581,家,house,house,30,,,,
582,嫁,marry_into,marry_into,30,,,,
583,豪,overpowering,overpowering,30,,,,
584,腸,intestines,intestines,30,,,,
585,場,location,location,30,,,,
586,湯,hot_water,hot_water,30,,,,
587,羊,sheep,sheep,30,,,,
588,美,beauty,beauty,30,,,,
589,洋,ocean,ocean,30,,,,
590,詳,detailed,detailed,30,,,,
591,鮮,fresh,fresh,30,,,,
592,達,attain,attain,30,,,,
593,羨,envious,envious,30,,,,
594,差,distinction,distinction,30,,,,
595,着,wear,wear,30,,,,
596,唯,solely,solely,30,,,,
597,堆,piled_high,piled_high,30,,,,
598,椎,sweet_oak,sweet_oak,30,,,,
599,誰,who,who,30,,,,
600,焦,char,char,30,,,,
601,礁,reef,reef,31,,,,
602,集,gather,gather,31,,,,
603,准,quasi,quasi,31,,,,
604,進,advance,advance,31,,,,
605,雑,miscellaneous,miscellaneous,31,,,,
606,雌,female,female,31,,,,
607,準,conform,conform,31,,,,
608,奮,stirred_up,stirred_up,31,,,,
609,奪,rob,rob,31,,,,
610,確,assurance,assurance,31,,,,
611,午,noon,noon,31,,,,
612,許,permit,permit,31,,,,
613,歓,delight,delight,31,,,,
614,権,rights,rights,31,,,,
615,観,observe,observe,31,,,,
616,羽,feathers,feathers,31,,,,
617,習,learn,learn,31,,,,
618,翌,following_day,following_day,31,,,,
619,曜,weekday,weekday,31,,,,
620,濯,laundry,laundry,31,,,,
621,曰,sayeth,sayeth,32,,,,
622,困,quandary,quandary,32,,,,
623,固,hard,hard,32,,,,
624,錮,weld,weld,32,,,,
625,国,country,country,32,,,,
626,団,group,group,32,,,,
627,因,reason,reason,32,,,,
628,姻,matrimony,matrimony,32,,,,
629,咽,gullet,gullet,32,,,,
630,園,garden,garden,32,,,,
631,回,occurrences,occurrences,32,,,,
632,壇,podium,podium,32,,,,
633,店,store,store,32,,,,
634,庫,storage,storage,32,,,,
635,庭,courtyard,courtyard,32,,,,
636,庁,government_office,government_office,32,,,,
637,床,bed,bed,32,,,,
638,麻,hemp,hemp,32,,,,
639,磨,grind,grind,32,,,,
640,心,heart,heart,32,,,,
641,忘,forget,forget,33,,,,
642,恣,selfish,selfish,33,,,,
643,忍,endure_silently,endure_silently,33,,,,
644,認,acknowledge,acknowledge,33,,,,
645,忌,mourning,mourning,33,,,,
646,志,intention,intention,33,,,,
647,誌,document,document,33,,,,
648,芯,core,core,33,,,,
649,忠,loyalty,loyalty,33,,,,
650,串,skewer,skewer,33,,,,
651,患,afflicted,afflicted,33,,,,
652,思,think,think,33,,,,
653,恩,grace,grace,33,,,,
654,応,respond,respond,33,,,,
655,意,idea,idea,33,,,,
656,臆,cowardice,cowardice,33,,,,
657,想,concept,concept,33,,,,
658,息,breath,breath,33,,,,
659,憩,recess,recess,33,,,,
660,恵,favor,favor,33,,,,
661,恐,fear,fear,34,,,,
662,惑,beguile,beguile,34,,,,
663,感,feeling,feeling,34,,,,
664,憂,melancholy,melancholy,34,,,,
665,寡,widow,widow,34,,,,
666,忙,busy,busy,34,,,,
667,悦,ecstasy,ecstasy,34,,,,
668,恒,constancy,constancy,34,,,,
669,悼,lament,lament,34,,,,
670,悟,enlightenment,enlightenment,34,,,,
671,怖,dreadful,dreadful,34,,,,
672,慌,disconcerted,disconcerted,34,,,,
673,悔,repent,repent,34,,,,
674,憎,hate,hate,34,,,,
675,慣,accustomed,accustomed,34,,,,
676,愉,pleasure,pleasure,34,,,,
677,惰,lazy,lazy,34,,,,
678,慎,humility,humility,34,,,,
679,憾,remorse,remorse,34,,,,
680,憶,recollection,recollection,34,,,,
681,惧,disquieting,disquieting,35,,,,
682,憧,desire,desire,35,,,,
683,憬,long_for,long_for,35,,,,
684,慕,pining,pining,35,,,,
685,添,annexed,annexed,35,,,,
686,必,invariably,invariably,35,,,,
687,泌,ooze,ooze,35,,,,
688,手,hand,hand,35,,,,
689,看,watch_over,watch_over,35,,,,
690,摩,chafe,chafe,35,,,,
691,我,ego,ego,35,,,,
692,義,righteousness,righteousness,35,,,,
693,議,deliberation,deliberation,35,,,,
694,犠,sacrifice,sacrifice,35,,,,
695,抹,rub,rub,35,,,,
696,拭,wipe,wipe,35,,,,
697,拉,yank,yank,35,,,,
698,抱,embrace,embrace,35,,,,
699,搭,board,board,35,,,,
700,抄,extract,extract,35,,,,
701,抗,confront,confront,36,,,,
702,批,criticism,criticism,36,,,,
703,招,beckon,beckon,36,,,,
704,拓,clear_land,clear_land,36,,,,
705,拍,clap,clap,36,,,,
706,打,strike,strike,36,,,,
707,拘,arrest,arrest,36,,,,
708,捨,discard,discard,36,,,,
709,拐,kidnap,kidnap,36,,,,
710,摘,pinch,pinch,36,,,,
711,挑,challenge,challenge,36,,,,
712,指,finger,finger,36,,,,
713,持,hold,hold,36,,,,
714,拶,imminent,imminent,36,,,,
715,括,fasten,fasten,36,,,,
716,揮,brandish,brandish,36,,,,
717,推,infer,infer,36,,,,
718,揚,hoist,hoist,36,,,,
719,提,propose,propose,36,,,,
720,損,damage,damage,36,,,,
721,拾,pick_up,pick_up,37,,,,
722,担,shouldering,shouldering,37,,,,
723,拠,foothold,foothold,37,,,,
724,描,sketch,sketch,37,,,,
725,操,maneuver,maneuver,37,,,,
726,接,touch,touch,37,,,,
727,掲,put_up_notice,put_up_notice,37,,,,
728,掛,hang,hang,37,,,,
729,捗,make_headway,make_headway,37,,,,
730,研,sharpen,sharpen,37,,,,
731,戒,commandment,commandment,37,,,,
732,弄,tinker_with,tinker_with,37,,,,
733,械,contraption,contraption,37,,,,
734,鼻,nose,nose,37,,,,
735,刑,punish,punish,37,,,,
