lesson,order_in_lesson,kanji,keyword,slug,v1_concept_summary,v2Concept,subjectType,humanPresence,narrativeStrength,emotionalTone,colorWeight,atmosphere,galleryPriority
1,11,口,mouth,mouth,"V1 cinematic wash: Cave mouth in ivory cliff, breath-like mist. Verse: «before the word there is an opening waiting…»","An old woman laughing mid-sentence at a kitchen table, steam from miso between her hands — speech as warmth.",human,primary,active,generous vitality,moderate,"domestic amber, copper kettle gleam",feature
1,12,日,sun,sun,V1 cinematic wash: Low sun through cloud bands over wide field. Verse: «day stands still inside its simple walls glowing…»,"Harvest field at low sun, a farmer straightening their back, light flooding the grain — labor crowned in gold.",landscape,secondary,active,exhausted radiance,rich,"horizontal blaze, dust like pollen",hero
1,13,月,moon,moon,V1 cinematic wash: Crescent reflected in still rice paddy at twilight.,"A fisherman mending net on a boat, crescent moon on tidal mudflat silver — night work, patient tide.",mixed,secondary,implied,solitary devotion,restrained,"moonlit silver, indigo mud, one lantern",hero
1,14,田,field,field,V1 cinematic wash: Wide terraced fields in pale dawn wash. Verse: «the earth is split so life can rise…»,"Terraced rice fields after planting, a heron standing in mirrored water — geometry alive with reflection.",landscape,none,static,fertile patience,moderate,"early summer green, pearl sky",feature
1,15,目,eye,eye,V1 cinematic wash: Reflective pool mirroring sky; distant figure at shore. Verse: «the eye holds still and more than the…» Weak v1 test: overly symbolic / floating kanji / misread risk.,Close portrait: a child's face watching fireworks reflected in their eyes — wonder held still.,human,primary,static,astonished attention,rich,"festival night, crimson bursts in dark irises",feature
1,16,古,old,old,V1 cinematic wash: Gnarled cedar or weathered gate post with moss. Verse: «old does not mean gone it means the…»,"Ancient camphor tree, roots gripping stone steps; an elderly couple resting on the trunk — time shared.",landscape,secondary,implied,enduring tenderness,moderate,"deep green canopy, weathered grey bark",feature
1,17,吾,I,I,V1 cinematic wash: Solitary traveler turning at edge of misty field. Verse: «I am not thunder just a place from…»,"A woman alone on a coastal promenade at first light, coat pulled tight, facing the horizon — self as witness.",human,primary,implied,self-possessed solitude,restrained,"cold dawn, pale rose sky, dark sea",feature
1,18,冒,risk,risk,V1 cinematic wash: Foot hovering over stone step above dark water. Verse: «risk is not noise it is the quiet…»,"Mountain guide reaching for a hand across a crevasse bridge, wind lifting snow — one step, mutual trust.",human,primary,active,charged courage,rich,"alpine white, bruised violet shadow",hero
1,19,朋,companion,companion,V1 cinematic wash: Two travelers side by side on forest path. Verse: «side by side not one shadow deeper than…»,"Two friends on a bench in falling snow, shoulders touching, thermos between them — warmth without words.",human,primary,static,steady belonging,moderate,"soft snowfall, charcoal coats, amber thermos",feature
1,20,明,bright,bright,V1 cinematic wash: Sun and moon light meeting across a river gorge. Verse: «brightness deepens when light meets another light and…»,"Riverside at equinox twilight: last sun on water while moon rises behind cedar — dual light, one breath.",landscape,implied,implied,ceremonial clarity,rich,"gold water, silver sky, lesson climax",hero
2,1,唱,chant,chant,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «chant»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 唱 only if carved, cast, or woven into the scene.",human,secondary,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,transition
2,2,晶,sparkle,sparkle,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «sparkle»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 晶 only if carved, cast, or woven into the scene.",human,secondary,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,transition
2,3,品,goods,goods,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «goods»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 品 only if carved, cast, or woven into the scene.",still_life,none,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,transition
2,4,呂,spine,spine,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Intimate still life: objects associated with the body — cloth, bowl, mirror — arranged as if after bathing; earth umber and parchment cream; human implied, not diagrammed.",still_life,implied,implied,embodied quiet,restrained,"warm interior, shallow focus",supporting
2,5,昌,prosperous,prosperous,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «prosperous»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 昌 only if carved, cast, or woven into the scene.",mixed,implied,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,hero
2,6,早,early,early,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Horizon ceremony: early light breaking through cloud vault — land or sea below, no floating symbols.",weather,implied,implied,temporal hush,rich,amber and silver split,supporting
2,7,旭,rising_sun,rising_sun,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Window scene: interior dark, exterior lit — the hour itself is the subject.",weather,implied,implied,temporal hush,rich,amber and silver split,supporting
2,8,世,generation,generation,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «generation»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 世 only if carved, cast, or woven into the scene.",mixed,implied,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,9,胃,stomach,stomach,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Intimate still life: objects associated with the body — cloth, bowl, mirror — arranged as if after bathing; earth umber and parchment cream; human implied, not diagrammed.",still_life,implied,implied,embodied quiet,restrained,"warm interior, shallow focus",supporting
2,10,旦,dawn,dawn,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Horizon ceremony: dawn light breaking through cloud vault — land or sea below, no floating symbols.",weather,implied,implied,temporal hush,rich,amber and silver split,feature
2,11,胆,gallbladder,gallbladder,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Intimate still life: objects associated with the body — cloth, bowl, mirror — arranged as if after bathing; earth umber and parchment cream; human implied, not diagrammed.",still_life,implied,implied,embodied quiet,restrained,"warm interior, shallow focus",supporting
2,12,亘,span,span,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «span»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 亘 only if carved, cast, or woven into the scene.",landscape,none,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,13,凹,concave,concave,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «concave»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 凹 only if carved, cast, or woven into the scene.",still_life,none,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,hero
2,14,凸,convex,convex,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «convex»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 凸 only if carved, cast, or woven into the scene.",human,secondary,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,15,旧,olden_times,olden_times,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «olden_times»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 旧 only if carved, cast, or woven into the scene.",human,secondary,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,16,自,oneself,oneself,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «oneself»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 自 only if carved, cast, or woven into the scene.",still_life,none,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,17,白,white,white,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «white»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 白 only if carved, cast, or woven into the scene.",mixed,implied,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,18,百,hundred,hundred,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «hundred»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 百 only if carved, cast, or woven into the scene.",still_life,none,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,supporting
2,19,中,middle,middle,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «middle»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 中 only if carved, cast, or woven into the scene.",human,secondary,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,feature
2,20,千, ,thousand,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for « »: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 千 only if carved, cast, or woven into the scene.",human,secondary,implied,brightening curiosity,restrained,brightening curiosity; exhibition depth,hero
3,1,舌,tongue,tongue,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"A hands-close study: working, healing, or holding — veins and knuckle light in amber; the body as lived subject, not anatomy chart.",still_life,implied,implied,embodied quiet,moderate,"warm interior, shallow focus",transition
3,2,升,measuring_box,measuring_box,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «measuring_box»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 升 only if carved, cast, or woven into the scene.",human,secondary,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",transition
3,3,昇,rise,rise,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «rise»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 昇 only if carved, cast, or woven into the scene.",human,secondary,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",transition
3,4,丸,round,round,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «round»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 丸 only if carved, cast, or woven into the scene.",still_life,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,5,寸,measurement,measurement,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «measurement»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 寸 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,6,肘,elbow,elbow,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Intimate still life: objects associated with the body — cloth, bowl, mirror — arranged as if after bathing; turquoise and weathered gold; human implied, not diagrammed.",still_life,implied,implied,embodied quiet,moderate,"warm interior, shallow focus",supporting
3,7,専,specialty,specialty,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «specialty»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 専 only if carved, cast, or woven into the scene.",still_life,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,8,博,knowledgeable,knowledgeable,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «knowledgeable»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 博 only if carved, cast, or woven into the scene.",human,secondary,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,9,占,fortune_telling,fortune_telling,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «fortune_telling»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 占 only if carved, cast, or woven into the scene.",still_life,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",hero
3,10,上,up,up,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «up»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 上 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",feature
3,11,下,below,below,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «below»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 下 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,12,卓,eminent,eminent,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «eminent»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 卓 only if carved, cast, or woven into the scene.",mixed,implied,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,13,朝,morning,morning,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Horizon ceremony: morning light breaking through cloud vault — land or sea below, no floating symbols.",weather,implied,implied,temporal hush,rich,amber and silver split,hero
3,14,嘲,derision,derision,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «derision»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 嘲 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,15,只,only,only,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «only»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 只 only if carved, cast, or woven into the scene.",human,secondary,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,16,貝,shellfish,shellfish,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Portrait of a shellfish in shallow depth of field, background dissolved into indigo shadow — a gallery animal study, not an emblem.",animal,none,active,"alert, slightly witty",moderate,"living air, tactile detail",supporting
3,17,唄,pop_song,pop_song,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «pop_song»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 唄 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,18,貞,virtue,virtue,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «virtue»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 貞 only if carved, cast, or woven into the scene.",human,secondary,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",supporting
3,19,員,employee,employee,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «employee»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 員 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",feature
3,20,卜,signal,signal,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «signal»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 卜 only if carved, cast, or woven into the scene.",landscape,none,implied,"alert, slightly witty",moderate,"alert, slightly witty; exhibition depth",hero
4,1,貼,post_a_bill,post_a_bill,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «post_a_bill»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 貼 only if carved, cast, or woven into the scene.",landscape,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,transition
4,2,見,see,see,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «see»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 見 only if carved, cast, or woven into the scene.",human,secondary,implied,scholarly calm,moderate,scholarly calm; exhibition depth,hero
4,3,児,newborn,newborn,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «newborn»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 児 only if carved, cast, or woven into the scene.",still_life,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,transition
4,4,元,beginning,beginning,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «beginning»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 元 only if carved, cast, or woven into the scene.",mixed,implied,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,5,頁,page,page,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «page»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 頁 only if carved, cast, or woven into the scene.",landscape,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,6,頑,stubborn,stubborn,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «stubborn»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 頑 only if carved, cast, or woven into the scene.",landscape,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,7,凡,mediocre,mediocre,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «mediocre»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 凡 only if carved, cast, or woven into the scene.",still_life,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,8,負,defeat,defeat,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «defeat»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 負 only if carved, cast, or woven into the scene.",still_life,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,hero
4,9,万,ten_thousand,ten_thousand,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «ten_thousand»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 万 only if carved, cast, or woven into the scene.",human,secondary,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,10,句,phrase,phrase,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «phrase»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 句 only if carved, cast, or woven into the scene.",human,secondary,implied,scholarly calm,moderate,scholarly calm; exhibition depth,feature
4,11,肌,texture,texture,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «texture»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 肌 only if carved, cast, or woven into the scene.",human,secondary,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,12,旬,ten_days,ten_days,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Horizon ceremony: ten days light breaking through cloud vault — land or sea below, no floating symbols.",weather,implied,implied,temporal hush,rich,amber and silver split,supporting
4,13,勺, ,ladle,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for « »: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 勺 only if carved, cast, or woven into the scene.",landscape,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,14,的,bulls_eye,bulls_eye,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «bulls_eye»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 的 only if carved, cast, or woven into the scene.",mixed,implied,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,15,首,neck,neck,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Intimate still life: objects associated with the body — cloth, bowl, mirror — arranged as if after bathing; warm red and orange with ivory strokes; human implied, not diagrammed.",still_life,implied,implied,embodied quiet,moderate,"warm interior, shallow focus",supporting
4,16,乙,fish_guts,fish_guts,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «fish_guts»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 乙 only if carved, cast, or woven into the scene.",landscape,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,17,乱,riot,riot,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «riot»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 乱 only if carved, cast, or woven into the scene.",landscape,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,18,直,straightaway,straightaway,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «straightaway»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 直 only if carved, cast, or woven into the scene.",human,secondary,implied,scholarly calm,moderate,scholarly calm; exhibition depth,supporting
4,19,具,tool,tool,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «tool»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 具 only if carved, cast, or woven into the scene.",still_life,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,feature
4,20,真,true,true,V1 KML-CLASS: study illustration tied to lesson palette and verse mood.,"Gallery still for «true»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 真 only if carved, cast, or woven into the scene.",still_life,none,implied,scholarly calm,moderate,scholarly calm; exhibition depth,hero
5,1,工,craft,craft,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «craft»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 工 only if carved, cast, or woven into the scene.",still_life,none,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",transition
5,2,左,left,left,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «left»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 左 only if carved, cast, or woven into the scene.",landscape,none,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",transition
5,3,右,right,right,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «right»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 右 only if carved, cast, or woven into the scene.",mixed,implied,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",transition
5,4,有,possess,possess,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «possess»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 有 only if carved, cast, or woven into the scene.",mixed,implied,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",supporting
5,5,賄,bribe,bribe,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «bribe»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 賄 only if carved, cast, or woven into the scene.",landscape,none,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",supporting
5,6,貢,tribute,tribute,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «tribute»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 貢 only if carved, cast, or woven into the scene.",landscape,none,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",supporting
5,7,項,paragraph,paragraph,V1 KML-POSTER: study illustration tied to lesson palette and verse mood.,"Gallery still for «paragraph»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 項 only if carved, cast, or woven into the scene.",mixed,implied,implied,"decisive, instructional",restrained,"decisive, instructional; exhibition depth",supporting
