kanji,slug,prompt
首,neck,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乙,fish_guts,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乱,riot,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
直,straightaway,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
具,tool,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
真,true,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
工,craft,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
左,left,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
右,right,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
有,possess,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
賄,bribe,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貢,tribute,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
項,paragraph,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
刀,sword,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
刃,blade,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
切,cut,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
召,seduce,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
昭,shining,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
則,rule,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
副,vice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
別,separate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
丁,street,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
町,town,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
可,possible,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
頂,top,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
子,child,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
孔,cavity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
了,finish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
女,woman,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
好,fond_of,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
如,likeness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
母,mother,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貫,pierce,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
兄,older_brother,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
呪,curse,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
克,overcome,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
小,small,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
少,few,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
大,large,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
多,many,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
夕,evening,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
汐,eventide,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
外,outside,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
名,name,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
石,stone,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
肖,resemblance,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
硝,nitrate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
砕,smash,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
砂,sand,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妬,jealousy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
削,plane,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
光,ray,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
太,plump,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
器,utensil,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
臭,stinking,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
嗅,sniff,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妙,exquisite,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
省,government_ministry,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
厚,thick,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
奇,strange,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
川,river,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
州,state,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
順,follow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
水,water,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
氷,ice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
永,eternity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
泉,spring,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
腺,gland,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
原,meadow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
願,petition,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
泳,swim,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
沼,marsh,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
沖,open_sea,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
汎,general,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
江,creek,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
汰,cleanse,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
汁,soup,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
沙,grains_of_sand,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
潮,tide,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
源,source,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
活,lively,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
消,extinguish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
況,condition,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
河,large_river,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
泊,overnight,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
湖,lake,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
測,fathom,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
土,soil,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
吐,spit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
圧,pressure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
埼,cape,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
垣,hedge,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
填,inlay,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
圭,jade,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
封,seal,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
涯,horizon,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寺,temple,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
時,time,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
均,level,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
火,fire,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
炎,inflammation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
煩,anxiety,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
淡,faint,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
灯,lamp,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
畑,farm,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
災,disaster,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
灰,ashes,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
点,point,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
照,illuminate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
魚,fish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
漁,fishing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
里,home_village,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
黒,black,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
墨,black_ink,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鯉,carp,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
量,quantity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
厘,thousandth,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
埋,bury,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
同,same,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
洞,den,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
胴,trunk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
向,yonder,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
尚,esteem,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
字,letter,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
守,guard,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
完,complete,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
宣,proclaim,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
宵,early_morning,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
安,relax,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
宴,banquet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寄,draw_near,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
富,wealth,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貯,savings,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
木,tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
林,woods,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
森,forest,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
桂,judas_tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
柏,oak,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
枠,frame,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
梢,treetops,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
棚,shelf,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
杏,apricot,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
桐,paulownia_tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
植,plant,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
椅,chair,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
枯,wither,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
朴,crude,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
村,village,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
相,mutual,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
机,desk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
本,book,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
札,tag,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
暦,calendar,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
案,plan,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
燥,parch,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
未,not_yet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
末,extremity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
昧,obscure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
沫,splash,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
味,flavor,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妹,younger_sister,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
朱,vermilion,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
株,stocks,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
若,young,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
草,grass,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
苦,suffering,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
苛,bullying,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寛,tolerant,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
薄,dilute,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
葉,leaf,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
模,imitation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
漠,vague,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
墓,grave,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
暮,livelihood,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
膜,membrane,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
苗,seedling,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
兆,portent,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
桃,peach_tree,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
眺,stare,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
犬,dog,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
状,status_quo,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
黙,silence,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
然,sort_of_thing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
荻,reed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
狩,hunt,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
猫,cat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
牛,cow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
特,special,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
告,revelation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
先,previous,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
洗,wash,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
介,jammed_in,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
界,world,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
茶,tea,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
脊,stature,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
合,fit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
塔,pagoda,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
王,king,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
玉,ball,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
宝,treasure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
珠,pearl,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
現,present,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
玩,toy_with,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
狂,lunatic,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
旺,flourishing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
皇,emperor,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
呈,display,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
全,whole,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
栓,plug,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
理,logic,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
主,master,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
注,pour,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
柱,pillar,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
金,gold,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
銑,pig_iron,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鉢,bowl,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
銅,copper,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
釣,angling,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
針,needle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
銘,inscription,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鎮,tranquilize,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
道,road,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
導,guidance,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
辻,crossing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
