kanji,slug,keyword,prompt
旭,rising_sun,rising_sun,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rising_sun, simple abstract form"
世,generation,generation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of generation, simple abstract form"
胃,stomach,stomach,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of stomach, simple abstract form"
旦,dawn,dawn,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a glowing dawn in a simple sky with soft gradient background"
胆,gallbladder,gallbladder,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of gallbladder, simple abstract form"
亘,span,span,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of span, simple abstract form"
凹,concave,concave,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of concave, simple abstract form"
凸,convex,convex,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of convex, simple abstract form"
旧,olden_times,olden_times,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of olden_times, simple abstract form"
自,oneself,oneself,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of oneself, simple abstract form"
白,white,white,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of white, simple abstract form"
百,hundred,hundred,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of hundred, simple abstract form"
中,middle,middle,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of middle, simple abstract form"
千,thousand,thousand,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of thousand, simple abstract form"
舌,tongue,tongue,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tongue, simple abstract form"
升,measuring_box,measuring_box,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of measuring_box, simple abstract form"
昇,rise,rise,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rise, simple abstract form"
丸,round,round,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of round, simple abstract form"
寸,measurement,measurement,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of measurement, simple abstract form"
肘,elbow,elbow,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of elbow, simple abstract form"
専,specialty,specialty,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of specialty, simple abstract form"
博,knowledgeable,knowledgeable,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of knowledgeable, simple abstract form"
占,fortune_telling,fortune_telling,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fortune_telling, simple abstract form"
上,up,up,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of up, simple abstract form"
下,below,below,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of below, simple abstract form"
卓,eminent,eminent,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of eminent, simple abstract form"
朝,morning,morning,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of morning, simple abstract form"
嘲,derision,derision,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of derision, simple abstract form"
只,only,only,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of only, simple abstract form"
貝,shellfish,shellfish,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of shellfish, simple abstract form"
唄,pop_song,pop_song,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of pop_song, simple abstract form"
貞,virtue,virtue,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of virtue, simple abstract form"
員,employee,employee,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of employee, simple abstract form"
貼,post_a_bill,post_a_bill,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of post_a_bill, simple abstract form"
見,see,see,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of see, simple abstract form"
児,newborn,newborn,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of newborn, simple abstract form"
元,beginning,beginning,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of beginning, simple abstract form"
頁,page,page,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of page, simple abstract form"
頑,stubborn,stubborn,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of stubborn, simple abstract form"
凡,mediocre,mediocre,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of mediocre, simple abstract form"
負,defeat,defeat,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of defeat, simple abstract form"
万,ten_thousand,ten_thousand,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ten_thousand, simple abstract form"
句,phrase,phrase,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of phrase, simple abstract form"
肌,texture,texture,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of texture, simple abstract form"
旬,ten_days,ten_days,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ten_days, simple abstract form"
勺,ladle,ladle,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ladle, simple abstract form"
的,bulls_eye,bulls_eye,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bulls_eye, simple abstract form"
首,neck,neck,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of neck, simple abstract form"
乙,fish_guts,fish_guts,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fish_guts, simple abstract form"
乱,riot,riot,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of riot, simple abstract form"
直,straightaway,straightaway,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of straightaway, simple abstract form"
具,tool,tool,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tool, simple abstract form"
真,true,true,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of true, simple abstract form"
工,craft,craft,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of craft, simple abstract form"
左,left,left,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of left, simple abstract form"
右,right,right,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of right, simple abstract form"
有,possess,possess,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of possess, simple abstract form"
賄,bribe,bribe,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bribe, simple abstract form"
貢,tribute,tribute,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tribute, simple abstract form"
項,paragraph,paragraph,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of paragraph, simple abstract form"
刀,sword,sword,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sword, simple abstract form"
刃,blade,blade,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of blade, simple abstract form"
切,cut,cut,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cut, simple abstract form"
召,seduce,seduce,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of seduce, simple abstract form"
昭,shining,shining,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of shining, simple abstract form"
則,rule,rule,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rule, simple abstract form"
副,vice,vice,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of vice, simple abstract form"
別,separate,separate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of separate, simple abstract form"
丁,street,street,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of street, simple abstract form"
町,town,town,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of town, simple abstract form"
可,possible,possible,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of possible, simple abstract form"
頂,top,top,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of top, simple abstract form"
子,child,child,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simple human figure representing child, minimal pose"
孔,cavity,cavity,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cavity, simple abstract form"
了,finish,finish,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of finish, simple abstract form"
女,woman,woman,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simple human figure representing woman, minimal pose"
好,fond_of,fond_of,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fond_of, simple abstract form"
如,likeness,likeness,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of likeness, simple abstract form"
母,mother,mother,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of mother, simple abstract form"
貫,pierce,pierce,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of pierce, simple abstract form"
兄,older_brother,older_brother,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of older_brother, simple abstract form"
呪,curse,curse,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of curse, simple abstract form"
克,overcome,overcome,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of overcome, simple abstract form"
小,small,small,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of small, simple abstract form"
少,few,few,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of few, simple abstract form"
大,large,large,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of large, simple abstract form"
多,many,many,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of many, simple abstract form"
夕,evening,evening,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of evening, simple abstract form"
汐,eventide,eventide,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of eventide, simple abstract form"
外,outside,outside,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of outside, simple abstract form"
名,name,name,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of name, simple abstract form"
石,stone,stone,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of stone, simple abstract form"
肖,resemblance,resemblance,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of resemblance, simple abstract form"
硝,nitrate,nitrate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of nitrate, simple abstract form"
砕,smash,smash,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of smash, simple abstract form"
砂,sand,sand,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sand, simple abstract form"
妬,jealousy,jealousy,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of jealousy, simple abstract form"
削,plane,plane,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of plane, simple abstract form"
光,ray,ray,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ray, simple abstract form"
太,plump,plump,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of plump, simple abstract form"
器,utensil,utensil,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of utensil, simple abstract form"
臭,stinking,stinking,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of stinking, simple abstract form"
嗅,sniff,sniff,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sniff, simple abstract form"
妙,exquisite,exquisite,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of exquisite, simple abstract form"
省,government_ministry,government_ministry,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of government_ministry, simple abstract form"
厚,thick,thick,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of thick, simple abstract form"
奇,strange,strange,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of strange, simple abstract form"
川,river,river,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of river, simple abstract form"
州,state,state,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of state, simple abstract form"
順,follow,follow,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of follow, simple abstract form"
水,water,water,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of water, simple abstract form"
氷,ice,ice,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ice, simple abstract form"
永,eternity,eternity,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of eternity, simple abstract form"
泉,spring,spring,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of spring, simple abstract form"
腺,gland,gland,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of gland, simple abstract form"
原,meadow,meadow,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of meadow, simple abstract form"
願,petition,petition,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of petition, simple abstract form"
泳,swim,swim,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of swim, simple abstract form"
沼,marsh,marsh,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of marsh, simple abstract form"
沖,open_sea,open_sea,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of open_sea, simple abstract form"
汎,general,general,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of general, simple abstract form"
江,creek,creek,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of creek, simple abstract form"
汰,cleanse,cleanse,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cleanse, simple abstract form"
汁,soup,soup,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of soup, simple abstract form"
沙,grains_of_sand,grains_of_sand,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of grains_of_sand, simple abstract form"
潮,tide,tide,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tide, simple abstract form"
源,source,source,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of source, simple abstract form"
活,lively,lively,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lively, simple abstract form"
消,extinguish,extinguish,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of extinguish, simple abstract form"
況,condition,condition,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of condition, simple abstract form"
河,large_river,large_river,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of large_river, simple abstract form"
泊,overnight,overnight,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of overnight, simple abstract form"
湖,lake,lake,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lake, simple abstract form"
測,fathom,fathom,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fathom, simple abstract form"
土,soil,soil,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of soil, simple abstract form"
吐,spit,spit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of spit, simple abstract form"
圧,pressure,pressure,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of pressure, simple abstract form"
埼,cape,cape,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cape, simple abstract form"
垣,hedge,hedge,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of hedge, simple abstract form"
填,inlay,inlay,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of inlay, simple abstract form"
圭,jade,jade,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of jade, simple abstract form"
封,seal,seal,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of seal, simple abstract form"
涯,horizon,horizon,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of horizon, simple abstract form"
寺,temple,temple,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of temple, simple abstract form"
時,time,time,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of time, simple abstract form"
均,level,level,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of level, simple abstract form"
火,fire,fire,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fire, simple abstract form"
炎,inflammation,inflammation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of inflammation, simple abstract form"
煩,anxiety,anxiety,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of anxiety, simple abstract form"
淡,faint,faint,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of faint, simple abstract form"
灯,lamp,lamp,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lamp, simple abstract form"
畑,farm,farm,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of farm, simple abstract form"
災,disaster,disaster,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of disaster, simple abstract form"
灰,ashes,ashes,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ashes, simple abstract form"
点,point,point,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of point, simple abstract form"
照,illuminate,illuminate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of illuminate, simple abstract form"
魚,fish,fish,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fish, simple abstract form"
漁,fishing,fishing,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fishing, simple abstract form"
里,home_village,home_village,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of home_village, simple abstract form"
黒,black,black,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of black, simple abstract form"
墨,black_ink,black_ink,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of black_ink, simple abstract form"
鯉,carp,carp,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of carp, simple abstract form"
量,quantity,quantity,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of quantity, simple abstract form"
厘,thousandth,thousandth,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of thousandth, simple abstract form"
埋,bury,bury,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bury, simple abstract form"
同,same,same,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of same, simple abstract form"
洞,den,den,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of den, simple abstract form"
胴,trunk,trunk,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of trunk, simple abstract form"
向,yonder,yonder,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of yonder, simple abstract form"
尚,esteem,esteem,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of esteem, simple abstract form"
字,letter,letter,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of letter, simple abstract form"
守,guard,guard,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of guard, simple abstract form"
完,complete,complete,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of complete, simple abstract form"
宣,proclaim,proclaim,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of proclaim, simple abstract form"
宵,early_morning,early_morning,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of early_morning, simple abstract form"
安,relax,relax,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of relax, simple abstract form"
宴,banquet,banquet,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of banquet, simple abstract form"
寄,draw_near,draw_near,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of draw_near, simple abstract form"
富,wealth,wealth,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of wealth, simple abstract form"
